Available Datacenters(可用数据中心)

Datacenter  Geographic Location             Slug    oem_name1
NYC1        New York City, United States    nyc1    美国纽约市
NYC2        New York City, United States    nyc2    美国纽约市
NYC3        New York City, United States    nyc3    美国纽约市
AMS2        Amsterdam, the Netherlands      ams2    荷兰阿姆斯特丹
AMS3        Amsterdam, the Netherlands      ams3    荷兰阿姆斯特丹
SFO1        San Francisco, United States    sfo1    美国旧金山
SFO2        San Francisco, United States    sfo2    美国旧金山
ascensiosystemsi-onlyofficeeditor-18-04-4    droplet
helpyio-helpypro-18-04                       droplet
dsuhininapp-18-04                            droplet
appwrite-20-04                               droplet
saltcorn-20-04                               droplet
restya-restyaboardcento-8-3                  droplet
sharklabs-matrixsynapsebac-10                droplet
photoprism-20-04                             droplet
znuny-znunylts-10                            droplet
znuny                                        droplet
ghost-20-04                                  droplet
protocollabs-filecoinlotus-20-04             droplet
nodearmy                                     droplet
searchblox-searchbloxenterp-7-6              droplet
analythium-shinyproxy-20-04                  droplet
airbyte                                      droplet
utnadmins-utunnelvpn                         droplet
jetappsstorageve-jetbackup5                  droplet
gravitl-netmaker                             droplet
severalnines-clustercontrol-20-04            droplet
gitlab-gitlabenterprise-20-04                droplet
meilisas-meilisearch-10                      droplet
kuyio-wireguardianvpna                       droplet
litespeedtechnol-openlitespeedrai-20-04      droplet
powertrader-coincollectorbyp                 droplet
simontelephonics-freepbx-7-8                 droplet
cloudron-20-04                               droplet
kandralabs-zulip-18-04                       droplet
victoriametrics-victoriametricss             droplet
nodegame-18-04                               droplet
questdb-20-04                                droplet
nodejs-20-04                                 droplet
pharoahlanesoftw-webdnaserver864-18-04       droplet
passboltsa-passboltce-20-04                  droplet


Speedtest(速度测试)
http://speedtest-sgp1.digitalocean.com/
speedtest-nyc1.digitalocean.com
speedtest-nyc2.digitalocean.com
speedtest-nyc3.digitalocean.com
speedtest-ams2.digitalocean.com
speedtest-ams3.digitalocean.com
speedtest-sfo1.digitalocean.com
speedtest-sfo2.digitalocean.com
speedtest-sfo3.digitalocean.com
speedtest-sgp1.digitalocean.com
speedtest-lon1.digitalocean.com
speedtest-fra1.digitalocean.com
speedtest-tor1.digitalocean.com
speedtest-blr1.digitalocean.com
